fighter,height_cm,reach_cm,stance,dob,wins,losses,draws,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg
Shannon Ross,167.6,167.6,Switch,"May 12, 1989",13,9,0,5.96,0.39,7.39,0.55,0.0,0.0,1.0,0.0
Shara Magomedov,188.0,185.4,Orthodox,"May 16, 1994",16,1,0,5.93,0.62,3.85,0.43,0.0,0.0,0.71,0.0
Shauna Bannon,165.1,165.1,Switch,"Oct 23, 1993",7,2,0,4.32,0.43,3.75,0.45,0.0,0.0,0.4,0.7
Shavkat Rakhmonov,185.4,195.6,Orthodox,"Oct 23, 1994",19,0,0,3.25,0.6,2.17,0.51,1.4,0.25,0.85,1.2
Shayilan Nuerdanbieke,172.7,175.3,Orthodox,"May 04, 1994",39,12,0,1.95,0.45,2.64,0.5,3.3,0.35,0.28,0.2
Shem Rock,180.3,185.4,Southpaw,"Nov 05, 1993",12,3,1,3.03,0.39,4.4,0.49,1.0,0.13,0.88,0.0
Shi Ming,157.5,152.4,Orthodox,"Nov 14, 1994",17,6,0,3.12,0.36,2.92,0.53,0.81,0.3,0.57,0.0
Sodiq Yusuff,175.3,180.3,Orthodox,"May 19, 1993",13,5,0,5.27,0.49,4.29,0.53,0.36,0.23,0.62,0.4
Song Kenan,182.9,180.3,Orthodox,"Mar 10, 1990",22,9,0,4.49,0.46,5.82,0.51,0.42,0.3,0.73,0.0
Song Yadong,172.7,170.2,Orthodox,"Dec 02, 1997",22,9,1,4.42,0.43,3.94,0.55,0.78,0.39,0.73,0.1
Stephanie Egger,167.6,172.7,Orthodox,"Aug 12, 1988",8,5,0,2.2,0.46,2.48,0.52,2.48,0.42,0.5,0.6
Stephanie Luciano,167.6,165.1,Orthodox,"Dec 16, 1999",7,2,1,5.2,0.42,3.04,0.64,1.3,0.71,0.8,0.3
Stephen Thompson,182.9,190.5,Orthodox,"Feb 11, 1983",17,9,1,4.05,0.46,3.0,0.54,0.23,0.35,0.63,0.0
Steve Erceg,172.7,172.7,Orthodox,"Jul 27, 1995",13,4,0,4.0,0.45,3.79,0.52,1.15,0.27,0.62,0.4
Steve Garcia,182.9,190.5,Southpaw,"May 22, 1992",19,5,0,5.39,0.49,2.12,0.59,0.86,0.4,0.88,0.4
Steven Asplund,195.6,198.1,Orthodox,"Jul 16, 1998",7,2,0,10.05,0.51,6.64,0.5,0.0,0.0,1.0,0.0
Steven Nguyen,180.3,185.4,Switch,"May 19, 1993",10,2,0,7.47,0.42,7.1,0.6,0.24,1.0,0.88,0.0
Steven Peterson,177.8,177.8,Orthodox,"May 29, 1990",19,11,0,4.76,0.4,5.94,0.53,1.42,0.26,0.64,0.7
Stewart Nicoll,165.1,165.1,Orthodox,"Apr 11, 1996",8,3,0,3.63,0.39,5.84,0.49,1.63,0.11,0.28,0.0
Stipe Miocic,193.0,203.2,Orthodox,"Aug 19, 1982",20,5,0,4.67,0.52,4.01,0.52,1.74,0.34,0.65,0.0
SuYoung You,167.6,165.1,Orthodox,"Dec 11, 1995",16,4,0,2.15,0.47,2.01,0.68,4.26,0.47,0.66,0.4
Sulangrangbo,175.3,167.6,Southpaw,"Jul 17, 2005",10,4,0,3.96,0.48,3.2,0.62,0.0,0.0,0.72,0.0
Sumudaerji,172.7,182.9,Southpaw,"Jan 20, 1996",19,7,0,4.43,0.5,2.35,0.62,0.67,0.35,0.72,0.5
TJ Brown,175.3,182.9,Switch,"May 22, 1990",17,11,0,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3
Tabatha Ricci,154.9,154.9,Orthodox,"Feb 21, 1995",12,4,0,4.0,0.37,4.83,0.57,2.51,0.37,0.65,0.1
Tafon Nchukwi,182.9,195.6,Orthodox,"Oct 14, 1994",6,4,0,5.57,0.52,4.11,0.54,0.76,0.57,0.64,0.0
Tagir Ulanbekov,170.2,177.8,Southpaw,"Aug 07, 1991",17,3,0,3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5
Tai Tuivasa,188.0,190.5,Southpaw,"Mar 16, 1993",15,9,0,3.66,0.48,4.97,0.43,0.0,0.0,0.6,0.0
Taila Santos,167.6,172.7,Orthodox,"Jun 22, 1993",19,3,0,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1
Tainara Lisboa,170.2,170.2,Orthodox,"Mar 02, 1991",7,4,0,2.01,0.44,2.88,0.45,1.67,0.31,0.53,0.3
Taiyilake Nueraji,188.0,190.5,Southpaw,"Jan 12, 2001",12,1,0,9.82,0.53,5.01,0.58,1.47,0.33,1.0,0.0
Takashi Sato,177.8,185.4,Southpaw,"Jun 09, 1990",16,7,0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0
Talita Alencar,154.9,147.3,Orthodox,"Oct 17, 1990",7,1,1,2.91,0.37,3.36,0.55,3.02,0.26,0.66,0.6
Tallison Teixeira,200.7,210.8,Orthodox,"Dec 07, 1999",9,1,0,5.02,0.64,3.86,0.42,2.48,0.3,0.0,0.0
Tamires Vidal,167.6,172.7,Orthodox,"Jul 27, 1998",7,4,0,2.91,0.53,4.46,0.49,0.0,0.0,0.35,0.7
Tanner Boser,188.0,190.5,Orthodox,"Aug 02, 1991",22,11,1,4.82,0.53,3.0,0.57,0.0,0.0,0.69,0.0
Tatiana Suarez,165.1,167.6,Southpaw,"Dec 19, 1990",13,1,0,2.86,0.6,1.63,0.44,4.52,0.45,0.57,0.7
Tatsuro Taira,170.2,177.8,Orthodox,"Jan 27, 2000",18,1,0,2.94,0.6,2.44,0.47,3.12,0.46,0.45,1.6
Taylor Lapilus,167.6,185.4,Southpaw,"Apr 08, 1992",21,4,0,4.59,0.48,2.61,0.62,0.27,0.33,0.77,0.3
Tecia Pennington,154.9,152.4,Orthodox,"Aug 16, 1989",15,8,0,4.73,0.48,3.48,0.61,0.56,0.14,0.62,0.1
Tereza Bleda,175.3,180.3,Orthodox,"Nov 30, 2001",7,2,0,2.92,0.51,2.14,0.43,1.72,0.22,0.83,0.7
Terrance McKinney,177.8,185.4,Switch,"Sep 15, 1994",18,8,0,6.53,0.55,3.45,0.43,3.31,0.4,0.72,2.1
Terrence Mitchell,177.8,188.0,Orthodox,"Dec 30, 1989",14,4,0,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0
Themba Gorimbo,185.4,195.6,Orthodox,"Jan 23, 1991",14,6,0,2.72,0.6,1.32,0.51,5.07,0.65,0.72,0.4
Thiago Moises,175.3,177.8,Orthodox,"Mar 23, 1995",19,10,0,2.52,0.42,4.4,0.52,1.37,0.29,0.52,1.1
Thomas Petersen,185.4,188.0,Southpaw,"Mar 30, 1995",11,4,0,3.1,0.59,2.61,0.54,3.01,0.43,0.87,0.4
Tim Elliott,170.2,167.6,Southpaw,"Dec 24, 1986",22,13,1,3.37,0.44,2.65,0.57,3.71,0.47,0.59,1.1
Tim Means,188.0,190.5,Orthodox,"Feb 20, 1984",33,17,1,5.04,0.49,3.65,0.6,1.14,0.4,0.64,0.2
Timmy Cuamba,175.3,180.3,Orthodox,"Feb 08, 1999",10,3,0,2.77,0.44,3.58,0.57,1.31,0.31,0.72,0.0
Tofiq Musayev,175.3,175.3,Orthodox,"Dec 15, 1989",23,6,0,1.84,0.46,1.74,0.5,2.3,0.6,0.5,0.0
Tom Aspinall,195.6,198.1,Orthodox,"Apr 11, 1993",15,3,0,7.63,0.67,3.62,0.56,2.62,0.8,1.0,1.3
Tom Nolan,190.5,185.4,Southpaw,"Mar 08, 2000",10,1,0,5.87,0.45,4.73,0.48,0.74,0.22,0.71,1.9
Tony Ferguson,180.3,193.0,Orthodox,"Feb 12, 1984",26,11,0,4.91,0.45,4.37,0.55,0.39,0.35,0.66,0.9
Tony Gravely,165.1,175.3,Orthodox,"Sep 28, 1991",23,9,0,3.82,0.48,4.47,0.44,5.4,0.41,0.52,0.3
Torrez Finney,172.7,190.5,Orthodox,"Oct 24, 1998",11,1,0,1.78,0.54,3.34,0.4,6.86,0.59,0.75,0.8
Toshiomi Kazama,170.2,175.3,Orthodox,"May 15, 1997",11,5,0,1.49,0.53,4.56,0.38,1.94,0.16,0.66,1.0
Tracy Cortez,165.1,165.1,Orthodox,"Dec 10, 1993",12,3,0,3.86,0.48,3.01,0.57,2.15,0.46,0.59,0.3
Tre'ston Vines,185.4,200.7,Orthodox,"Jun 18, 1996",10,4,0,0.0,0.0,3.56,0.5,0.0,0.0,0.0,0.0
Tresean Gore,182.9,190.5,Switch,"Jun 21, 1994",7,4,0,3.41,0.49,7.0,0.4,1.91,0.72,0.83,1.0
Trevin Giles,182.9,188.0,Orthodox,"Aug 06, 1992",16,7,0,3.17,0.54,2.39,0.58,1.07,0.5,0.72,0.3
Trevin Jones,170.2,177.8,Southpaw,"Aug 04, 1990",13,10,0,2.13,0.37,4.29,0.39,0.62,0.15,0.6,0.2
Trevor Peek,175.3,177.8,Switch,"Jan 09, 1995",9,3,0,4.39,0.53,3.88,0.43,1.45,0.5,0.52,0.0
Trey Ogden,180.3,182.9,Orthodox,"Nov 14, 1989",18,7,0,3.2,0.5,3.49,0.55,1.89,0.32,1.0,0.7
Trey Waters,195.6,195.6,Orthodox,"Feb 21, 1995",9,2,0,6.39,0.44,5.83,0.55,0.4,0.33,0.85,0.8
Tucker Lutz,172.7,182.9,Orthodox,"Jul 12, 1994",12,4,0,3.74,0.46,3.25,0.44,1.99,0.44,0.69,0.2
Tuco Tokkos,193.0,193.0,Orthodox,"Jun 30, 1990",11,5,0,2.12,0.4,4.27,0.46,4.21,0.47,0.33,0.5
Ty Miller,188.0,195.6,Orthodox,"Jun 04, 2000",7,0,0,7.16,0.38,4.65,0.64,0.0,0.0,0.75,0.0
Tyrell Fortune,182.9,190.5,Orthodox,"Jul 04, 1990",18,3,0,2.0,0.5,3.13,0.57,3.0,0.6,1.0,0.0
Tyson Nam,170.2,172.7,Orthodox,"Oct 06, 1983",21,14,1,3.87,0.33,4.97,0.65,0.0,0.0,0.87,0.0
Tyson Pedro,190.5,200.7,Orthodox,"Sep 17, 1991",10,5,0,2.9,0.59,2.39,0.56,0.76,0.3,0.5,0.8
Umar Nurmagomedov,172.7,175.3,Orthodox,"Jan 03, 1996",20,1,0,3.86,0.56,1.86,0.61,4.03,0.46,0.79,0.2
Uran Satybaldiev,193.0,200.7,Orthodox,"Aug 10, 1994",9,1,0,2.14,0.25,3.66,0.44,0.0,0.0,0.5,1.7
Uros Medic,185.4,180.3,Southpaw,"Apr 25, 1993",13,3,0,5.59,0.6,3.42,0.56,0.34,0.5,0.55,0.0
Val Woodburn,172.7,188.0,Orthodox,"Aug 10, 1993",7,2,0,1.6,0.35,4.93,0.36,1.92,1.0,0.5,0.0
Valentina Shevchenko,165.1,167.6,Southpaw,"Mar 07, 1988",26,4,1,3.04,0.52,2.0,0.63,2.65,0.61,0.76,0.3
Valter Walker,198.1,198.1,Orthodox,"Dec 14, 1997",15,1,0,2.0,0.52,2.85,0.42,5.74,0.69,0.0,2.5
Vanessa Demopoulos,157.5,149.9,Orthodox,"Sep 22, 1988",11,8,0,3.37,0.39,5.39,0.41,0.32,0.09,0.26,0.4
Veronica Hardy,162.6,162.6,Southpaw,"Oct 30, 1995",10,5,1,3.06,0.45,3.24,0.5,0.82,0.41,0.51,0.3
Viacheslav Borshchev,180.3,175.3,Orthodox,"Jan 08, 1992",8,7,1,5.1,0.5,4.46,0.57,0.0,0.0,0.43,0.1
Vicente Luque,180.3,190.5,Orthodox,"Nov 27, 1991",24,12,1,4.8,0.5,5.24,0.51,0.89,0.48,0.59,0.7
Victor Altamirano,172.7,177.8,Switch,"Jan 23, 1991",12,5,0,4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0
Victor Henry,170.2,172.7,Switch,"May 04, 1987",25,7,0,7.17,0.53,5.19,0.48,1.04,0.42,0.81,0.3
Victor Hugo,170.2,180.3,Orthodox,"Nov 22, 1992",25,5,0,3.27,0.44,2.95,0.56,0.81,0.33,0.73,1.2
Victor Martinez,172.7,177.8,Orthodox,"Jul 17, 1991",13,6,0,7.94,0.51,7.66,0.53,0.7,0.33,0.8,0.0
Victoria Leonardo,165.1,162.6,Orthodox,"Feb 16, 1990",9,7,0,3.22,0.38,4.81,0.47,1.57,0.27,0.71,0.0
Viktoriia Dudakova,165.1,170.2,Orthodox,"Jan 26, 1999",8,2,0,2.87,0.47,3.4,0.5,2.73,0.35,0.33,0.0
Vinc Pichel,177.8,182.9,Orthodox,"Nov 23, 1982",14,5,0,3.78,0.46,3.17,0.54,2.5,0.51,0.31,0.2
Vince Morales,170.2,177.8,Orthodox,"Nov 12, 1990",16,10,0,3.57,0.37,4.0,0.53,0.59,0.4,0.58,0.5
Vinicius Oliveira,175.3,177.8,Switch,"Nov 30, 1995",23,4,0,4.73,0.43,2.7,0.57,1.45,0.46,0.7,0.2
Vinicius Salvador,170.2,177.8,Southpaw,"Jul 24, 1996",14,7,0,5.48,0.43,6.5,0.48,0.36,0.11,0.86,0.0
Virna Jandiroba,160.0,162.6,Orthodox,"May 30, 1988",23,4,0,2.27,0.41,2.86,0.55,3.13,0.39,0.72,1.4
Vitor Petrino,188.0,195.6,Orthodox,"Aug 28, 1997",14,2,0,3.24,0.48,2.71,0.51,2.6,0.46,0.79,0.7
Viviane Araujo,162.6,172.7,Orthodox,"Nov 21, 1986",13,7,0,3.84,0.47,4.83,0.55,1.72,0.43,0.75,0.6
Volkan Oezdemir,188.0,190.5,Orthodox,"Sep 19, 1989",21,8,0,4.99,0.48,4.19,0.55,0.5,0.29,0.8,0.1
Waldo Cortes Acosta,193.0,198.1,Orthodox,"Oct 03, 1991",17,2,0,5.54,0.49,3.38,0.56,0.44,0.57,0.72,0.1
Waldo Cortes-Acosta,193.0,198.1,Orthodox,"Oct 03, 1991",17,2,0,5.54,0.49,3.38,0.56,0.44,0.57,0.72,0.1
Wang Cong,167.6,167.6,Southpaw,"May 15, 1992",9,1,0,6.22,0.56,2.19,0.63,0.78,0.75,0.84,0.8
Warlley Alves,180.3,182.9,Orthodox,"Jan 04, 1991",15,8,0,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8
Wellington Turman,182.9,182.9,Orthodox,"Jul 22, 1996",18,8,0,3.23,0.51,4.17,0.45,1.55,0.2,0.42,0.8
Wes Schultz,185.4,195.6,Orthodox,"Aug 09, 1996",8,3,0,4.6,0.43,4.97,0.45,4.52,0.25,0.0,1.1
Westin Wilson,185.4,185.4,Southpaw,"Jan 24, 1989",17,10,0,1.57,0.31,6.71,0.3,1.57,0.16,0.33,7.9
William Gomis,182.9,185.4,Southpaw,"Jun 13, 1997",15,3,0,3.48,0.49,2.76,0.61,0.86,0.38,0.72,0.3
William Knight,177.8,185.4,Orthodox,"Apr 03, 1988",11,5,0,2.62,0.56,3.3,0.35,1.78,0.4,0.48,0.4
Xiao Long,172.7,177.8,Orthodox,"Apr 13, 1998",27,11,0,5.06,0.47,3.85,0.5,0.74,0.27,0.82,0.0
Yadier del Valle,175.3,175.3,Southpaw,"Jul 29, 1996",10,1,0,4.05,0.6,2.16,0.55,1.23,0.42,0.58,2.0
Yair Rodriguez,180.3,180.3,Orthodox,"Oct 06, 1992",21,6,0,4.65,0.46,3.78,0.52,0.71,0.29,0.59,0.6
Yan Xiaonan,165.1,160.0,Orthodox,"Jun 16, 1989",19,5,0,4.69,0.45,3.23,0.6,0.84,0.73,0.64,0.0
Yana Santos,167.6,172.7,Orthodox,"Nov 11, 1989",17,8,0,4.41,0.57,3.12,0.52,0.78,0.47,0.51,0.1
Yanal Ashmouz,175.3,175.3,Orthodox,"Mar 31, 1995",8,2,0,2.88,0.5,4.78,0.5,3.24,0.38,0.64,0.0
Yanis Ghemmouri,175.3,175.3,Orthodox,"Jan 24, 1995",12,3,0,2.29,0.38,5.14,0.35,0.0,0.0,0.0,0.0
Yaroslav Amosov,182.9,190.5,Orthodox,"Sep 09, 1993",29,1,0,2.78,0.47,1.55,0.54,4.64,0.5,0.0,4.6
Yazmin Jauregui,160.0,162.6,Orthodox,"Feb 28, 1999",11,2,0,6.64,0.39,5.25,0.54,0.0,0.0,1.0,0.0
Yizha,170.2,180.3,Orthodox,"Jan 08, 1997",26,6,0,3.25,0.47,2.88,0.49,3.42,0.33,0.64,0.9
Yohan Lainesse,185.4,193.0,Orthodox,"Aug 14, 1992",9,3,0,2.22,0.41,3.38,0.58,0.94,0.28,0.72,0.5
Yousri Belgaroui,198.1,200.7,Orthodox,"Jun 02, 1992",10,3,0,6.1,0.64,2.17,0.63,0.29,1.0,0.66,0.0
Youssef Zalal,177.8,182.9,Switch,"Sep 04, 1996",18,5,1,3.03,0.5,1.78,0.66,2.17,0.31,0.59,1.4
Yuneisy Duben,162.6,165.1,Orthodox,"Jul 08, 1996",6,1,0,13.53,0.48,10.75,0.53,0.0,0.0,0.0,0.0
Yusaku Kinoshita,182.9,180.3,Southpaw,"Aug 21, 2000",6,3,0,4.65,0.5,5.12,0.51,0.0,0.0,0.5,0.0
Zac Pauga,188.0,193.0,Orthodox,"Feb 25, 1988",7,3,0,4.46,0.62,2.73,0.58,0.38,0.07,1.0,0.0
Zach Reese,193.0,195.6,Switch,"Mar 24, 1994",10,3,0,4.48,0.54,3.92,0.43,2.8,0.61,0.52,1.3
Zachary Reese,175.3,,,"Dec 21, 1980",11,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zachary Scroggin,190.5,188.0,Orthodox,"Mar 09, 1996",7,1,0,2.4,0.37,8.8,0.68,0.0,0.0,0.0,0.0
Zak Cummings,182.9,190.5,Southpaw,"Aug 02, 1984",25,7,0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6
Zarah Fairn,172.7,182.9,Orthodox,"Dec 10, 1983",6,6,0,4.55,0.31,7.4,0.45,0.0,0.0,0.6,0.0
Zhalgas Zhumagulov,162.6,167.6,Switch,"Aug 29, 1988",14,9,0,5.24,0.43,5.86,0.52,1.3,0.19,0.75,0.2
Zhang Mingyang,188.0,190.5,Orthodox,"Aug 16, 1998",19,7,0,7.71,0.6,5.33,0.43,0.0,0.0,0.75,0.0
Zhang Weili,162.6,160.0,Switch,"Aug 13, 1989",26,4,0,4.66,0.52,2.63,0.53,1.96,0.44,0.63,0.5
Zubaira Tukhugov,172.7,172.7,Orthodox,"Jan 15, 1991",20,6,1,3.17,0.39,3.07,0.63,2.13,0.39,1.0,0.0
Zygimantas Ramaska,180.3,180.3,Orthodox,"Dec 27, 1996",9,3,0,0.96,0.6,2.25,0.3,0.0,0.0,0.33,2.4
Stevie Ray,177.8,177.8,Southpaw,"Mar 25, 1990",23,9,0,3.73,0.44,2.93,0.54,0.75,0.46,0.55,0.6
Jacare Souza,185.4,182.9,Orthodox,"Dec 07, 1979",26,10,0,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3
Vinicius Moreira,193.0,193.0,Orthodox,"Feb 28, 1989",9,5,0,3.15,0.59,5.07,0.43,1.97,0.18,0.0,1.3
Alex Da Silva,172.7,185.4,Orthodox,"Feb 04, 1996",21,4,0,2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3
Ike Villanueva,185.4,185.4,Orthodox,"Apr 04, 1984",18,14,0,3.66,0.38,7.24,0.36,0.6,0.5,1.0,0.0
Jorge de Oliveira,172.7,,Orthodox,"Jan 22, 1980",9,2,0,1.26,0.31,4.84,0.48,0.0,0.0,0.22,0.0
Rodrigo de Lima,170.2,,Orthodox,"Mar 12, 1991",8,3,1,1.29,0.33,5.5,0.32,2.66,0.36,0.0,1.3
Leandro Silva,175.3,182.9,Orthodox,"Nov 11, 1985",20,6,1,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4
Zviad Lazishvili,167.6,175.3,Orthodox,"Oct 25, 1991",13,1,0,4.2,0.39,6.13,0.51,0.0,0.0,0.0,0.0
Jose Maria,165.1,,Orthodox,"Jan 04, 1982",37,7,0,3.2,0.53,3.98,0.52,2.32,0.27,0.33,2.3
Cole Miller,185.4,185.4,Orthodox,"Apr 26, 1984",21,11,0,3.0,0.33,3.88,0.59,0.6,0.36,0.38,1.8
Marcos Vinicius,175.3,,Orthodox,"Dec 05, 1979",23,11,1,1.93,0.49,2.91,0.47,0.0,0.0,0.25,0.5
Amanda Cooper,160.0,162.6,Switch,"Oct 22, 1991",3,5,0,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8
Robert Peralta,172.7,180.3,Orthodox,"Mar 14, 1986",18,8,0,3.76,0.44,2.97,0.53,0.59,0.66,0.65,0.0
Mike Brown,167.6,177.8,Orthodox,"Sep 08, 1975",26,9,0,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6
Manvel Gamburyan,165.1,170.2,Orthodox,"May 08, 1981",15,10,0,2.13,0.41,2.83,0.55,3.26,0.34,0.69,0.7
Aleksei Kunchenko,172.7,177.8,Orthodox,"May 02, 1984",20,2,0,3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0
BJ Penn,175.3,177.8,Orthodox,"Dec 13, 1978",16,14,2,2.76,0.48,3.2,0.56,1.19,0.55,0.74,0.5
Rony Jason,170.2,185.4,Orthodox,"Mar 21, 1984",14,7,0,2.04,0.44,3.14,0.53,0.59,0.3,0.36,0.8
Henrique da Silva,190.5,193.0,Orthodox,"Sep 01, 1989",14,5,0,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2
TJ Dillashaw,167.6,170.2,Orthodox,"Feb 07, 1986",18,5,0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8
TJ O'Brien,188.0,,Orthodox,"Jan 01, 1987",20,8,0,3.77,0.46,4.78,0.57,0.94,1.0,0.0,0.0
CB Dollaway,188.0,193.0,Orthodox,"Aug 10, 1983",17,9,0,2.65,0.47,2.58,0.54,3.55,0.54,0.62,1.2
Daniel Spohn,193.0,200.7,Southpaw,"Oct 12, 1984",15,6,0,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5
JC Cottrell,175.3,,Orthodox,"Nov 04, 1989",17,5,0,0.79,0.25,2.75,0.45,0.79,1.0,0.5,0.0
Henry Briones,172.7,175.3,Orthodox,"Oct 22, 1980",16,8,1,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6
Luiz Dutra,180.3,,Orthodox,"May 06, 1982",13,6,1,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0
Mike Guymon,182.9,188.0,Orthodox,"Sep 17, 1974",15,6,1,2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2
Aleksei Oleinik,188.0,203.2,Orthodox,"Jun 20, 1977",60,17,1,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9
Joe Duffy,177.8,185.4,Orthodox,"Feb 18, 1988",16,5,0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7
Rob Emerson,175.3,177.8,Orthodox,"Jul 30, 1981",18,12,0,2.5,0.3,2.83,0.64,2.02,0.52,0.65,0.4
TJ Grant,177.8,182.9,Orthodox,"Feb 26, 1984",21,5,0,3.95,0.54,3.21,0.56,1.63,0.43,0.36,0.6
John Allan,185.4,190.5,Orthodox,"Feb 22, 1993",13,7,0,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8
Marcio Alexandre Junior,182.9,190.5,Southpaw,"May 05, 1989",17,4,0,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7
Georges St-Pierre,180.3,193.0,Orthodox,"May 19, 1981",26,2,0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1
Chris Beal,170.2,175.3,Orthodox,"Aug 06, 1985",10,5,0,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2
TJ Waldburger,180.3,190.5,Orthodox,"Apr 25, 1988",16,9,0,2.02,0.51,2.39,0.4,3.03,0.46,0.4,4.8
